param1,param2,l,real,imag,type
-0.05974,0.01,1,1.070383e-04,-1.545740e-05,resonance
-0.05842,0.01,1,2.877338e-04,-7.012084e-05,resonance
-0.05711,0.01,1,4.623299e-04,-1.471328e-04,resonance
-0.05579,0.01,1,6.306412e-04,-2.417099e-04,resonance
-0.05447,0.01,1,7.924675e-04,-3.514674e-04,resonance
-0.05316,0.01,1,9.475936e-04,-4.749276e-04,resonance
-0.05184,0.01,1,1.095787e-03,-6.110761e-04,resonance
-0.05053,0.01,1,1.236798e-03,-7.591741e-04,resonance
-0.04921,0.01,1,1.370357e-03,-9.186630e-04,resonance
-0.04789,0.01,1,1.496173e-03,-1.089111e-03,resonance
-0.04658,0.01,1,1.613932e-03,-1.270179e-03,resonance
-0.04526,0.01,1,1.723296e-03,-1.461601e-03,resonance
-0.04395,0.01,1,1.823897e-03,-1.663166e-03,resonance
-0.04263,0.01,1,1.915336e-03,-1.874712e-03,resonance
-0.04132,0.01,1,1.997185e-03,-2.096115e-03,resonance
-0.12,0.02,1,1.403653e-04,-1.632072e-05,resonance
-0.11632,0.02,1,6.462935e-04,-1.678969e-04,resonance
-0.11263,0.02,1,1.128167e-03,-4.039036e-04,resonance
-0.10895,0.02,1,1.584935e-03,-7.029348e-04,resonance
-0.10526,0.02,1,2.015433e-03,-1.055821e-03,resonance
-0.10158,0.02,1,2.418366e-03,-1.457255e-03,resonance
-0.09789,0.02,1,2.792298e-03,-1.903776e-03,resonance
-0.09421,0.02,1,3.135633e-03,-2.392992e-03,resonance
-0.09053,0.02,1,3.446592e-03,-2.923201e-03,resonance
-0.08684,0.02,1,3.723192e-03,-3.493189e-03,resonance
-0.18053,0.03,1,1.364434e-04,-1.272328e-05,resonance
-0.17579,0.03,1,7.919689e-04,-1.841490e-04,resonance
-0.17105,0.03,1,1.421245e-03,-4.587755e-04,resonance
-0.16632,0.03,1,2.023313e-03,-8.086990e-04,resonance
-0.16158,0.03,1,2.597122e-03,-1.222340e-03,resonance
-0.15684,0.03,1,3.141524e-03,-1.693000e-03,resonance
-0.15211,0.03,1,3.655263e-03,-2.216276e-03,resonance
-0.14737,0.03,1,4.136967e-03,-2.789068e-03,resonance
-0.14263,0.03,1,4.585130e-03,-3.409109e-03,resonance
-0.13789,0.03,1,4.998106e-03,-4.074704e-03,resonance
-0.13316,0.03,1,5.374079e-03,-4.784584e-03,resonance
-0.23895,0.04,1,4.281534e-04,-6.182961e-05,resonance
-0.23211,0.04,1,1.363045e-03,-3.646953e-04,resonance
-0.22526,0.04,1,2.256333e-03,-8.078072e-04,resonance
-0.21842,0.04,1,3.106331e-03,-1.359421e-03,resonance
-0.21158,0.04,1,3.911178e-03,-2.004676e-03,resonance
-0.20474,0.04,1,4.668827e-03,-2.734679e-03,resonance
-0.19789,0.04,1,5.377020e-03,-3.543505e-03,resonance
-0.19105,0.04,1,6.033267e-03,-4.426979e-03,resonance
-0.18421,0.04,1,6.634820e-03,-5.382073e-03,resonance
-0.3,0.05,1,3.509133e-04,-4.080181e-05,resonance
-0.29211,0.05,1,1.438669e-03,-3.506042e-04,resonance
-0.28421,0.05,1,2.482506e-03,-8.236928e-04,resonance
-0.27632,0.05,1,3.480808e-03,-1.419438e-03,resonance
-0.26842,0.05,1,4.431808e-03,-2.119859e-03,resonance
-0.26053,0.05,1,5.333574e-03,-2.914349e-03,resonance
-0.25263,0.05,1,6.183990e-03,-3.795870e-03,resonance
-0.24474,0.05,1,6.980746e-03,-4.759439e-03,resonance
-0.23684,0.05,1,7.721309e-03,-5.801400e-03,resonance
-0.22895,0.05,1,8.402906e-03,-6.919022e-03,resonance
-0.36,0.06,1,4.210959e-04,-4.896217e-05,resonance
-0.35684,0.06,1,8.619418e-04,-1.450260e-04,resonance
-0.35368,0.06,1,1.297066e-03,-2.708133e-04,resonance
-0.35053,0.06,1,1.726403e-03,-4.207250e-04,resonance
-0.34737,0.06,1,2.149886e-03,-5.916001e-04,resonance
-0.34421,0.06,1,2.567444e-03,-7.813413e-04,resonance
-0.34105,0.06,1,2.979007e-03,-9.884313e-04,resonance
-0.33789,0.06,1,3.384500e-03,-1.211711e-03,resonance
-0.33474,0.06,1,3.783847e-03,-1.450259e-03,resonance
-0.33158,0.06,1,4.176970e-03,-1.703326e-03,resonance
-0.32842,0.06,1,4.563787e-03,-1.970285e-03,resonance
-0.32526,0.06,1,4.944216e-03,-2.250605e-03,resonance
-0.32211,0.06,1,5.318170e-03,-2.543830e-03,resonance
-0.31895,0.06,1,5.685561e-03,-2.849566e-03,resonance
-0.31579,0.06,1,6.046299e-03,-3.167464e-03,resonance
-0.31263,0.06,1,6.400288e-03,-3.497219e-03,resonance
-0.30947,0.06,1,6.747433e-03,-3.838559e-03,resonance
-0.30632,0.06,1,7.087634e-03,-4.191240e-03,resonance
-0.30316,0.06,1,7.420788e-03,-4.555044e-03,resonance
-0.3,0.06,1,7.746790e-03,-4.929776e-03,resonance
-0.42,0.07,1,4.912786e-04,-5.712254e-05,resonance
-0.415,0.07,1,1.187671e-03,-2.180609e-04,resonance
-0.41,0.07,1,1.871718e-03,-4.382489e-04,resonance
-0.405,0.07,1,2.543227e-03,-7.053060e-04,resonance
-0.4,0.07,1,3.201994e-03,-1.012718e-03,resonance
-0.395,0.07,1,3.847810e-03,-1.356310e-03,resonance
-0.39,0.07,1,4.480455e-03,-1.733128e-03,resonance
-0.385,0.07,1,5.099700e-03,-2.140954e-03,resonance
-0.38,0.07,1,5.705307e-03,-2.578052e-03,resonance
-0.375,0.07,1,6.297028e-03,-3.043022e-03,resonance
-0.37,0.07,1,6.874604e-03,-3.534712e-03,resonance
-0.365,0.07,1,7.437767e-03,-4.052158e-03,resonance
-0.36,0.07,1,7.986238e-03,-4.594540e-03,resonance
-0.355,0.07,1,8.519724e-03,-5.161158e-03,resonance
-0.35,0.07,1,9.037921e-03,-5.751405e-03,resonance
-0.345,0.07,1,9.540515e-03,-6.364753e-03,resonance
-0.34,0.07,1,1.002717e-02,-7.000743e-03,resonance
-0.335,0.07,1,1.049756e-02,-7.658968e-03,resonance
-0.33,0.07,1,1.095130e-02,-8.339076e-03,resonance
-0.48,0.08,1,5.614612e-04,-6.528290e-05,resonance
-0.47526,0.08,1,1.222195e-03,-2.123694e-04,resonance
-0.47053,0.08,1,1.873260e-03,-4.082382e-04,resonance
-0.46579,0.08,1,2.514532e-03,-6.433008e-04,resonance
-0.46105,0.08,1,3.145880e-03,-9.122901e-04,resonance
-0.45632,0.08,1,3.767171e-03,-1.211759e-03,resonance
-0.45158,0.08,1,4.378266e-03,-1.539236e-03,resonance
-0.44684,0.08,1,4.979023e-03,-1.892844e-03,resonance
-0.44211,0.08,1,5.569293e-03,-2.271101e-03,resonance
-0.43737,0.08,1,6.148922e-03,-2.672805e-03,resonance
-0.43263,0.08,1,6.717753e-03,-3.096957e-03,resonance
-0.42789,0.08,1,7.275621e-03,-3.542713e-03,resonance
-0.42316,0.08,1,7.822357e-03,-4.009353e-03,resonance
-0.41842,0.08,1,8.357785e-03,-4.496253e-03,resonance
-0.41368,0.08,1,8.881725e-03,-5.002869e-03,resonance
-0.40895,0.08,1,9.393990e-03,-5.528723e-03,resonance
-0.40421,0.08,1,9.894384e-03,-6.073392e-03,resonance
-0.39947,0.08,1,1.038271e-02,-6.636502e-03,resonance
-0.39474,0.08,1,1.085876e-02,-7.217717e-03,resonance
-0.39,0.08,1,1.132231e-02,-7.816738e-03,resonance
-0.53966,0.09,1,6.800698e-04,-8.211668e-05,resonance
-0.53448,0.09,1,1.401036e-03,-2.458537e-04,resonance
-0.52931,0.09,1,2.111751e-03,-4.607208e-04,resonance
-0.52414,0.09,1,2.812084e-03,-7.170671e-04,resonance
-0.51897,0.09,1,3.501902e-03,-1.009466e-03,resonance
-0.51379,0.09,1,4.181070e-03,-1.334327e-03,resonance
-0.50862,0.09,1,4.849443e-03,-1.689058e-03,resonance
-0.50345,0.09,1,5.506876e-03,-2.071680e-03,resonance
-0.49828,0.09,1,6.153217e-03,-2.480628e-03,resonance
-0.4931,0.09,1,6.788308e-03,-2.914626e-03,resonance
-0.48793,0.09,1,7.411987e-03,-3.372611e-03,resonance
-0.48276,0.09,1,8.024088e-03,-3.853685e-03,resonance
-0.47759,0.09,1,8.624438e-03,-4.357080e-03,resonance
-0.47241,0.09,1,9.212857e-03,-4.882129e-03,resonance
-0.46724,0.09,1,9.789161e-03,-5.428248e-03,resonance
-0.46207,0.09,1,1.035316e-02,-5.994926e-03,resonance
-0.4569,0.09,1,1.090466e-02,-6.581708e-03,resonance
-0.45172,0.09,1,1.144345e-02,-7.188189e-03,resonance
-0.44655,0.09,1,1.196932e-02,-7.814009e-03,resonance
-0.44138,0.09,1,1.248206e-02,-8.458844e-03,resonance
-0.43621,0.09,1,1.298145e-02,-9.122402e-03,resonance
-0.43103,0.09,1,1.346724e-02,-9.804423e-03,resonance
-0.42586,0.09,1,1.393920e-02,-1.050467e-02,resonance
-0.42069,0.09,1,1.439708e-02,-1.122293e-02,resonance
-0.41552,0.09,1,1.484062e-02,-1.195901e-02,resonance
-0.41034,0.09,1,1.526956e-02,-1.271274e-02,resonance
-0.6032,0.1,1,2.504863e-04,-1.728085e-05,resonance
-0.6008,0.1,1,5.893174e-04,-6.268199e-05,resonance
-0.5984,0.1,1,9.261909e-04,-1.241398e-04,resonance
-0.596,0.1,1,1.261097e-03,-1.982606e-04,resonance
-0.5936,0.1,1,1.594025e-03,-2.832187e-04,resonance
-0.5912,0.1,1,1.924966e-03,-3.778256e-04,resonance
-0.5888,0.1,1,2.253909e-03,-4.812283e-04,resonance
-0.5864,0.1,1,2.580843e-03,-5.927773e-04,resonance
-0.584,0.1,1,2.905759e-03,-7.119568e-04,resonance
-0.5816,0.1,1,3.228644e-03,-8.383448e-04,resonance
-0.5792,0.1,1,3.549489e-03,-9.715884e-04,resonance
-0.5768,0.1,1,3.868282e-03,-1.111387e-03,resonance
-0.5744,0.1,1,4.185011e-03,-1.257480e-03,resonance
-0.572,0.1,1,4.499667e-03,-1.409640e-03,resonance
-0.5696,0.1,1,4.812236e-03,-1.567666e-03,resonance
-0.5672,0.1,1,5.122708e-03,-1.731378e-03,resonance
-0.5648,0.1,1,5.431070e-03,-1.900616e-03,resonance
-0.5624,0.1,1,5.737311e-03,-2.075233e-03,resonance
-0.56,0.1,1,6.041418e-03,-2.255098e-03,resonance
-0.55684,0.1,1,6.438287e-03,-2.499555e-03,resonance
-0.55368,0.1,1,6.831411e-03,-2.752638e-03,resonance
-0.55053,0.1,1,7.220763e-03,-3.014123e-03,resonance
-0.54737,0.1,1,7.606311e-03,-3.283808e-03,resonance
-0.54421,0.1,1,7.988027e-03,-3.561507e-03,resonance
-0.54105,0.1,1,8.365879e-03,-3.847051e-03,resonance
-0.53789,0.1,1,8.739835e-03,-4.140288e-03,resonance
-0.53474,0.1,1,9.109865e-03,-4.441073e-03,resonance
-0.53158,0.1,1,9.475936e-03,-4.749276e-03,resonance
-0.52842,0.1,1,9.838014e-03,-5.064776e-03,resonance
-0.52526,0.1,1,1.019607e-02,-5.387460e-03,resonance
-0.52211,0.1,1,1.055006e-02,-5.717222e-03,resonance
-0.51895,0.1,1,1.089996e-02,-6.053965e-03,resonance
-0.51579,0.1,1,1.124572e-02,-6.397598e-03,resonance
-0.51263,0.1,1,1.158732e-02,-6.748035e-03,resonance
