real,imag
7.729738e+03,-4.379674e+04
7.725656e+03,-4.381406e+04
7.725607e+03,-4.381362e+04
7.725347e+03,-4.381283e+04
7.724951e+03,-4.381151e+04
7.724749e+03,-4.380993e+04
7.724554e+03,-4.380824e+04
7.724349e+03,-4.380644e+04
7.724126e+03,-4.380456e+04
7.724060e+03,-4.381228e+04
7.723883e+03,-4.380267e+04
7.723608e+03,-4.380084e+04
7.723299e+03,-4.379909e+04
7.723010e+03,-4.379748e+04
7.722790e+03,-4.379610e+04
7.722576e+03,-4.379508e+04
7.722272e+03,-4.379432e+04
7.722056e+03,-4.379377e+04
7.712549e+03,-4.379943e+04
5.916456e+03,-3.355389e+04
4.656871e+03,-2.651250e+04
2.243444e+03,-1.272320e+04
1.982199e+03,-1.121029e+04
1.980206e+03,-1.122988e+04
1.980109e+03,-1.122943e+04
1.979745e+03,-1.122862e+04
1.979315e+03,-1.122773e+04
1.979228e+03,-1.122643e+04
1.979051e+03,-1.122466e+04
1.978823e+03,-1.122267e+04
1.978584e+03,-1.122052e+04
1.978330e+03,-1.121826e+04
1.978058e+03,-1.121599e+04
1.977746e+03,-1.121378e+04
1.977366e+03,-1.121168e+04
1.976984e+03,-1.120976e+04
1.976686e+03,-1.120813e+04
1.976426e+03,-1.120689e+04
1.976095e+03,-1.120599e+04
1.975846e+03,-1.120536e+04
1.967304e+03,-1.121314e+04
1.517653e+03,-8.607040e+03
9.198402e+02,-5.216018e+03
9.197166e+02,-5.215455e+03
9.193646e+02,-5.214376e+03
9.189897e+02,-5.212847e+03
9.186623e+02,-5.210826e+03
9.183300e+02,-5.208362e+03
9.180018e+02,-5.205583e+03
9.177060e+02,-5.202602e+03
9.174262e+02,-5.199558e+03
9.170460e+02,-5.196602e+03
9.164771e+02,-5.193673e+03
9.159327e+02,-5.190771e+03
9.155940e+02,-5.188198e+03
9.152665e+02,-5.186291e+03
9.147378e+02,-5.184554e+03
9.143360e+02,-5.182969e+03
9.139235e+02,-5.181764e+03
9.135947e+02,-5.180935e+03
9.077385e+02,-5.194910e+03
8.359574e+02,-4.842834e+03
7.059249e+02,-4.003499e+03
5.818544e+02,-3.299860e+03
5.549070e+02,-3.146371e+03
5.547740e+02,-3.145338e+03
5.543378e+02,-3.143486e+03
5.537864e+02,-3.140798e+03
5.532179e+02,-3.137321e+03
5.526459e+02,-3.133195e+03
5.520503e+02,-3.128669e+03
5.512949e+02,-3.126549e+03
5.512192e+02,-3.123954e+03
5.498639e+02,-3.118929e+03
5.477961e+02,-3.113117e+03
5.472806e+02,-3.106467e+03
5.467677e+02,-3.101074e+03
5.461336e+02,-3.096301e+03
5.455111e+02,-3.092314e+03
5.450044e+02,-3.089160e+03
5.449283e+02,-3.112718e+03
5.446316e+02,-3.086585e+03
5.442012e+02,-3.084596e+03
5.437546e+02,-3.083277e+03
4.273765e+02,-2.423773e+03
3.970475e+02,-2.251553e+03
3.966832e+02,-2.249560e+03
3.959436e+02,-2.246151e+03
3.948746e+02,-2.241352e+03
3.934148e+02,-2.235334e+03
3.912325e+02,-2.228520e+03
3.887797e+02,-2.222301e+03
3.884754e+02,-2.214859e+03
3.878138e+02,-2.205099e+03
3.866407e+02,-2.194522e+03
3.851518e+02,-2.183601e+03
3.833441e+02,-2.172673e+03
3.812458e+02,-2.162012e+03
3.790939e+02,-2.151852e+03
3.772453e+02,-2.142297e+03
3.757825e+02,-2.133393e+03
3.745646e+02,-2.125543e+03
3.735943e+02,-2.119382e+03
3.729791e+02,-2.115451e+03
3.603951e+02,-2.104905e+03
3.204969e+02,-1.817622e+03
3.199627e+02,-1.814478e+03
3.190512e+02,-1.808980e+03
3.177345e+02,-1.801193e+03
3.160004e+02,-1.791364e+03
3.139020e+02,-1.779829e+03
3.114798e+02,-1.766934e+03
3.087332e+02,-1.753024e+03
3.057439e+02,-1.738419e+03
3.027385e+02,-1.723309e+03
2.999430e+02,-1.707674e+03
2.973350e+02,-1.691408e+03
2.946919e+02,-1.674602e+03
2.918714e+02,-1.657552e+03
2.888971e+02,-1.640577e+03
2.859260e+02,-1.623936e+03
2.831399e+02,-1.607805e+03
2.805954e+02,-1.592516e+03
2.783784e+02,-1.579220e+03
2.772516e+02,-1.572441e+03
2.764502e+02,-1.567923e+03
2.636810e+02,-1.499419e+03
2.618856e+02,-1.491208e+03
2.595937e+02,-1.478369e+03
2.569247e+02,-1.463314e+03
2.541145e+02,-1.447221e+03
2.518739e+02,-1.428448e+03
2.512550e+02,-1.430562e+03
2.483590e+02,-1.413585e+03
2.454552e+02,-1.396422e+03
2.425353e+02,-1.379131e+03
2.395659e+02,-1.361785e+03
2.365387e+02,-1.344456e+03
2.334607e+02,-1.327204e+03
2.303669e+02,-1.310075e+03
2.273130e+02,-1.293073e+03
2.243251e+02,-1.276158e+03
2.213789e+02,-1.259298e+03
2.184301e+02,-1.242508e+03
2.154681e+02,-1.225842e+03
2.125238e+02,-1.209344e+03
2.096169e+02,-1.193082e+03
2.071211e+02,-1.179064e+03
2.039884e+02,-1.159824e+03
2.011283e+02,-1.143934e+03
1.983171e+02,-1.128062e+03
1.955364e+02,-1.112300e+03
1.927793e+02,-1.096693e+03
1.900568e+02,-1.081278e+03
1.873797e+02,-1.066104e+03
