point real,point imag,potential real,potential imag
6.772030e-03,3.909833e-03,8.161493e+03,-1.416296e+04
2.239242e-02,1.292827e-02,7.323908e+02,-1.295331e+03
4.607954e-02,2.660403e-02,1.611760e+02,-3.057838e+02
7.672381e-02,4.429651e-02,4.838921e+01,-1.100273e+02
1.128920e-01,6.517822e-02,1.432904e+01,-5.029739e+01
1.528928e-01,8.827268e-02,1.298414e+00,-2.658897e+01
1.948557e-01,1.125000e-01,-4.365918e+00,-1.522252e+01
2.368187e-01,1.367273e-01,-6.908219e+00,-8.906485e+00
2.768194e-01,1.598218e-01,-7.938115e+00,-4.987609e+00
3.129876e-01,1.807035e-01,-8.187472e+00,-2.388852e+00
3.436319e-01,1.983960e-01,-8.054055e+00,-6.323820e-01
3.673190e-01,2.120717e-01,-7.785602e+00,5.179785e-01
3.829394e-01,2.210902e-01,-7.543081e+00,1.193743e+00
3.897114e-01,2.250000e-01,-7.423540e+00,1.468048e+00
3.964835e-01,2.289098e-01,-7.295897e+00,1.731591e+00
4.121039e-01,2.379283e-01,-6.972715e+00,2.300043e+00
4.357910e-01,2.516040e-01,-6.414422e+00,3.062230e+00
4.664352e-01,2.692965e-01,-5.591138e+00,3.879110e+00
5.026034e-01,2.901782e-01,-4.509795e+00,4.607451e+00
5.426042e-01,3.132727e-01,-3.229075e+00,5.123323e+00
5.845671e-01,3.375000e-01,-1.856435e+00,5.345994e+00
6.265301e-01,3.617273e-01,-5.252463e-01,5.257853e+00
6.665309e-01,3.848218e-01,6.412725e-01,4.909307e+00
7.026990e-01,4.057035e-01,1.563529e+00,4.401786e+00
7.333433e-01,4.233960e-01,2.220128e+00,3.855212e+00
7.570304e-01,4.370717e-01,2.638279e+00,3.376128e+00
7.726508e-01,4.460902e-01,2.868469e+00,3.039966e+00
7.794229e-01,4.500000e-01,2.956684e+00,2.890385e+00
7.861949e-01,4.539098e-01,3.037809e+00,2.738934e+00
8.018153e-01,4.629283e-01,3.197704e+00,2.384201e+00
8.255024e-01,4.766040e-01,3.367570e+00,1.839276e+00
8.561467e-01,4.942965e-01,3.459878e+00,1.141521e+00
8.923148e-01,5.151782e-01,3.395175e+00,3.637117e-01
9.323156e-01,5.382727e-01,3.133092e+00,-3.925232e-01
9.742786e-01,5.625000e-01,2.692095e+00,-1.023440e+00
1.016242e+00,5.867273e-01,2.144064e+00,-1.458562e+00
1.056242e+00,6.098218e-01,1.584097e+00,-1.683662e+00
1.092410e+00,6.307035e-01,1.093302e+00,-1.737369e+00
1.123055e+00,6.483960e-01,7.160324e-01,-1.686402e+00
1.146742e+00,6.620717e-01,4.598853e-01,-1.597356e+00
1.162362e+00,6.710902e-01,3.109036e-01,-1.519629e+00
1.169134e+00,6.750000e-01,2.515846e-01,-1.482043e+00
1.175906e+00,6.789098e-01,1.955479e-01,-1.442421e+00
1.191527e+00,6.879283e-01,7.904715e-02,-1.344464e+00
1.215214e+00,7.016040e-01,-6.326888e-02,-1.183441e+00
1.245858e+00,7.192965e-01,-1.871157e-01,-9.657959e-01
1.282026e+00,7.401782e-01,-2.531318e-01,-7.171673e-01
1.322027e+00,7.632727e-01,-2.433534e-01,-4.782600e-01
1.363990e+00,7.875000e-01,-1.688189e-01,-2.887101e-01
1.405953e+00,8.117273e-01,-6.160714e-02,-1.695083e-01
1.445954e+00,8.348218e-01,4.347672e-02,-1.167781e-01
1.482122e+00,8.557035e-01,1.243506e-01,-1.098116e-01
1.512766e+00,8.733960e-01,1.755710e-01,-1.248130e-01
1.536453e+00,8.870717e-01,2.027429e-01,-1.443107e-01
1.552074e+00,8.960902e-01,2.147303e-01,-1.591186e-01
1.558846e+00,9.000000e-01,2.185185e-01,-1.657512e-01
1.565618e+00,9.039098e-01,2.214890e-01,-1.724190e-01
1.581238e+00,9.129283e-01,2.253867e-01,-1.876110e-01
1.604925e+00,9.266040e-01,2.242634e-01,-2.089780e-01
1.635570e+00,9.442965e-01,2.128492e-01,-2.312249e-01
1.671738e+00,9.651782e-01,1.902158e-01,-2.470991e-01
1.711738e+00,9.882727e-01,1.610543e-01,-2.509860e-01
1.753701e+00,1.012500e+00,1.330076e-01,-2.423199e-01
1.795664e+00,1.036727e+00,1.120514e-01,-2.255942e-01
1.835665e+00,1.059822e+00,9.979151e-02,-2.070491e-01
1.871833e+00,1.080703e+00,9.427075e-02,-1.912128e-01
1.902478e+00,1.098396e+00,9.248098e-02,-1.797691e-01
1.926165e+00,1.112072e+00,9.216710e-02,-1.724494e-01
1.941785e+00,1.121090e+00,9.221569e-02,-1.683526e-01
1.948557e+00,1.125000e+00,9.226378e-02,-1.667474e-01
1.955329e+00,1.128910e+00,9.231620e-02,-1.652402e-01
1.970950e+00,1.137928e+00,9.241414e-02,-1.621110e-01
1.994637e+00,1.151604e+00,9.236848e-02,-1.581652e-01
2.025281e+00,1.169297e+00,9.172824e-02,-1.541200e-01
2.061449e+00,1.190178e+00,8.998396e-02,-1.502097e-01
2.101450e+00,1.213273e+00,8.699142e-02,-1.461779e-01
2.143413e+00,1.237500e+00,8.317487e-02,-1.417029e-01
2.185376e+00,1.261727e+00,7.925829e-02,-1.368177e-01
2.225377e+00,1.284822e+00,7.581773e-02,-1.319232e-01
2.261545e+00,1.305703e+00,7.308206e-02,-1.275001e-01
2.292189e+00,1.323396e+00,7.103510e-02,-1.238764e-01
2.315876e+00,1.337072e+00,6.959197e-02,-1.211957e-01
2.331497e+00,1.346090e+00,6.869187e-02,-1.194931e-01
2.338269e+00,1.350000e+00,6.831197e-02,-1.187714e-01
2.345041e+00,1.353910e+00,6.793744e-02,-1.180596e-01
2.360661e+00,1.362928e+00,6.709102e-02,-1.164550e-01
2.384348e+00,1.376604e+00,6.584296e-02,-1.141154e-01
2.414992e+00,1.394297e+00,6.426965e-02,-1.112379e-01
2.451161e+00,1.415178e+00,6.245067e-02,-1.080191e-01
2.491161e+00,1.438273e+00,6.048208e-02,-1.046319e-01
2.533124e+00,1.462500e+00,5.848131e-02,-1.012326e-01
2.575087e+00,1.486727e+00,5.656695e-02,-9.797318e-02
2.615088e+00,1.509822e+00,5.483283e-02,-9.499483e-02
2.651256e+00,1.530703e+00,5.334058e-02,-9.241209e-02
2.681900e+00,1.548396e+00,5.212843e-02,-9.030580e-02
2.705588e+00,1.562072e+00,5.122146e-02,-8.872812e-02
2.721208e+00,1.571090e+00,5.063666e-02,-8.771106e-02
2.727980e+00,1.575000e+00,5.038628e-02,-8.727574e-02
2.734752e+00,1.578910e+00,5.013774e-02,-8.684377e-02
2.750372e+00,1.587928e+00,4.957135e-02,-8.585990e-02
2.774060e+00,1.601604e+00,4.873022e-02,-8.440027e-02
2.804704e+00,1.619297e+00,4.767251e-02,-8.256722e-02
2.840872e+00,1.640178e+00,4.646665e-02,-8.047964e-02
2.880873e+00,1.663273e+00,4.518469e-02,-7.826114e-02
